filename,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
text105,0.553571429,0.219387755,0.035714286,0.035714286,0.035714286,0.017857143,0.015306122,0.028061224,0.017857143,0.040816327
text1202,0.550955414,0.031847134,0.041401274,0.041401274,0.162420382,0.041401274,0.038216561,0.038216561,0.01910828,0.035031847
text48,0.549865229,0.045822102,0.018867925,0.02425876,0.115902965,0.051212938,0.043126685,0.067385445,0.026954178,0.056603774
text1388,0.549839228,0.08681672,0.032154341,0.028938907,0.054662379,0.035369775,0.045016077,0.07073955,0.035369775,0.061093248
text378,0.547169811,0.037735849,0.023584906,0.04009434,0.054245283,0.033018868,0.056603774,0.058962264,0.054245283,0.094339623
text755,0.54676259,0.050359712,0.064748201,0.071942446,0.035971223,0.050359712,0.043165468,0.057553957,0.035971223,0.043165468
text920,0.545454545,0.107226107,0.023310023,0.018648019,0.079254079,0.048951049,0.067599068,0.03030303,0.053613054,0.025641026
text553,0.54375,0.015625,0.04375,0.021875,0.078125,0.071875,0.053125,0.078125,0.046875,0.046875
text514,0.541916168,0.038922156,0.041916168,0.023952096,0.062874251,0.053892216,0.071856287,0.035928144,0.089820359,0.038922156
text1248,0.539583333,0.06875,0.0125,0.03125,0.060416667,0.070833333,0.114583333,0.033333333,0.020833333,0.047916667
text190,0.539473684,0.101973684,0.026315789,0.039473684,0.085526316,0.039473684,0.023026316,0.082236842,0.036184211,0.026315789
text1204,0.538873995,0.040214477,0.053619303,0.032171582,0.040214477,0.032171582,0.029490617,0.075067024,0.029490617,0.128686327
text295,0.536764706,0.167279412,0.016544118,0.112132353,0.022058824,0.020220588,0.022058824,0.029411765,0.0625,0.011029412
text283,0.535135135,0.024324324,0.016216216,0.137837838,0.013513514,0.037837838,0.021621622,0.07027027,0.013513514,0.12972973
text391,0.532142857,0.025,0.042857143,0.042857143,0.103571429,0.028571429,0.071428571,0.032142857,0.053571429,0.067857143
text1182,0.526086957,0.026086957,0.091304348,0.026086957,0.039130435,0.069565217,0.02173913,0.1,0.052173913,0.047826087
text1255,0.525862069,0.213362069,0.015086207,0.017241379,0.036637931,0.025862069,0.030172414,0.043103448,0.023706897,0.068965517
text261,0.523659306,0.022082019,0.031545741,0.031545741,0.138801262,0.041009464,0.050473186,0.025236593,0.028391167,0.107255521
text384,0.523076923,0.021538462,0.027692308,0.04,0.2,0.024615385,0.027692308,0.018461538,0.033846154,0.083076923
text129,0.522916667,0.06875,0.027083333,0.03125,0.09375,0.03125,0.045833333,0.0625,0.020833333,0.095833333
text271,0.520958084,0.062874251,0.032934132,0.077844311,0.101796407,0.026946108,0.041916168,0.047904192,0.038922156,0.047904192
text360,0.519480519,0.032467532,0.038961039,0.038961039,0.133116883,0.048701299,0.048701299,0.042207792,0.048701299,0.048701299
text895,0.518672199,0.024896266,0.033195021,0.041493776,0.033195021,0.107883817,0.074688797,0.070539419,0.041493776,0.053941909
text195,0.516233766,0.035714286,0.077922078,0.029220779,0.045454545,0.038961039,0.087662338,0.068181818,0.038961039,0.061688312
text1088,0.513274336,0.066371681,0.088495575,0.022123894,0.048672566,0.030973451,0.026548673,0.115044248,0.03539823,0.053097345
text128,0.512585812,0.073226545,0.032036613,0.086956522,0.107551487,0.025171625,0.016018307,0.036613272,0.075514874,0.034324943
text751,0.511111111,0.02962963,0.033333333,0.037037037,0.137037037,0.066666667,0.033333333,0.062962963,0.037037037,0.051851852
text1211,0.5078125,0.02734375,0.03125,0.0234375,0.02734375,0.09765625,0.02734375,0.12109375,0.08984375,0.046875
text1281,0.505660377,0.103773585,0.032075472,0.069811321,0.135849057,0.043396226,0.026415094,0.030188679,0.032075472,0.020754717
text1194,0.505139501,0.022026432,0.030837004,0.042584435,0.07195301,0.032305433,0.06020558,0.03671072,0.027900147,0.170337739
